resource,animal,source,sha256,date_rejected
app/src/main/res/raw/dog_fs2.mp3,Dog,https://freesound.org/people/wateenfotos/sounds/749351/ (id 749351: Barking Inez 2),64a154bc712c180fb85868eab4aa5f061e77d34c467c44b08f58052ae38b8218,2026-06-14
app/src/main/res/raw/dog_fs5.mp3,Dog,https://freesound.org/people/RamomLandim/sounds/655176/ (id 655176: Subir_cama_sofa_17_.wav),991cfe9854f3b831a6da632a1fbfd45e5a54b1731306e848b8de50e592e2ce93,2026-06-14
app/src/main/res/raw/dolphin_fs2.mp3,Dolphin,https://freesound.org/people/Mastersoundboy2005/sounds/737276/ (id 737276: Dolphin Sound effect Online),9faf3ba038c36133fc8bceadc850c61d1984a877e22d441774f016d40387b6df,2026-06-14
app/src/main/res/raw/dolphin_fs4.mp3,Dolphin,https://freesound.org/people/leonseptavaux/sounds/711803/ (id 711803: DOLPHIN_SFX_5),a605b47f9af88b66b606773825d3f4e94b9c53d35b2286505c8d597fe0d86517,2026-06-14
app/src/main/res/raw/duck_fs7.mp3,Duck,https://freesound.org/people/OwennewO/sounds/719106/ (id 719106: Male Duck Quack),dace843929fbf7f59397ac819749e5b7583b67740daa7d263593bc9fd8cb3594,2026-06-14
app/src/main/res/raw/duck_fs8.mp3,Duck,https://freesound.org/people/DigPro120/sounds/558858/ (id 558858: Duck quacking.mp3),efbe0285d732dc9cf2a580ca031e4c9dc36cf7a6a01a5857ae06a1f6b7f4a858,2026-06-14
app/src/main/res/raw/duck_fs9.mp3,Duck,https://freesound.org/people/dumnezilla/sounds/749445/ (id 749445: desperate duck quack),057ab2074a64623e8fb5639f87c2839f9824b71972e8e6fff2d1f0d685d14430,2026-06-14
app/src/main/res/raw/elephant_fs1.mp3,Elephant,https://freesound.org/people/vintprox/sounds/854137/ (id 854137: Mastodon trumpet),4e55a65ed7e7dfbcd78eaf9c97a07b1f3eaa7414d5fd71a92d988d786c278de2,2026-06-14
app/src/main/res/raw/elephant_fs2.mp3,Elephant,https://freesound.org/people/bevibeldesign/sounds/350421/ (id 350421: Rhinoceros Trumpet Joyful),60f2dd28dfe28c592a930b911ba42507124be33cf4a30bbfa7ff224853bd1528,2026-06-14
app/src/main/res/raw/elephant_fs3.mp3,Elephant,https://freesound.org/people/bevibeldesign/sounds/350417/ (id 350417: Rhinoceros Trumpet Expressive 1),0bb5e249ec0250ec3720d8d1781676ec849667ba7fcf127ed552f991fd4a38ba,2026-06-14
app/src/main/res/raw/elephant_fs4.mp3,Elephant,https://freesound.org/people/bevibeldesign/sounds/350416/ (id 350416: Rhinoceros Trumpet Expressive 2),a617e7752bd73c5706451c7cc9963bd25eb97676b47a1a9b66bcb78912099a22,2026-06-14
app/src/main/res/raw/elephant_fs5.mp3,Elephant,https://freesound.org/people/bevibeldesign/sounds/350419/ (id 350419: Rhinoceros Trumpet Sudden),456d35b19cdc70c90e400f0ee3fd68294fcc75005af3c3480cbeef2260b9878c,2026-06-14
app/src/main/res/raw/fox_fs1.mp3,Fox,https://freesound.org/people/Setzilla/sounds/173208/ (id 173208: foxBark2.wav),9acc0943204e41893a7213a7d5bbb7a5f014c39fd6143bbc67d9ac9ce0dae155,2026-06-14
app/src/main/res/raw/frog_bsb1.mp3,Frog,https://bigsoundbank.com/UPLOAD/mp3/0819.mp3 (id 0819: One frog),00eb43eaea04674ae3359aecb9fa6344a0297f4ba25560ebb2875ba2cf65a047,2026-06-14
app/src/main/res/raw/frog_fs6.mp3,Frog,https://freesound.org/people/SnowFightStudios/sounds/643666/ (id 643666: Ribbits.mp3),0af49bbe519e6608f8afff924a51bca1d5aab1a812df94fd16803e94c0556035,2026-06-14
app/src/main/res/raw/frog_fs8.mp3,Frog,https://freesound.org/people/casemundy/sounds/130584/ (id 130584: Frogs Under Pier.wav),a6576c9076d0209904015d33c348edfc162266b060bbe2c3962bc1bc64d390ce,2026-06-14
app/src/main/res/raw/goat_bsb3.mp3,Goat,https://bigsoundbank.com/UPLOAD/mp3/0821.mp3 (id 0821: Small herd of goats),6baa6a32d4a3c2a8f01467042a8396dce1b71f017e28ed466d6f7e60821f030c,2026-06-14
app/src/main/res/raw/horse_fs4.mp3,Horse,https://freesound.org/people/dontwanttobehere/sounds/656661/ (id 656661: horse),0990f97c93a93e7181a4df570f7c0c4af5e9a4e1a1d320c9c56d98f3113a7174,2026-06-14
app/src/main/res/raw/horse_fs7.mp3,Horse,https://freesound.org/people/poodaddy69/sounds/521246/ (id 521246: Horse),fb44a391b8d083609afac344310fa509dcda07bf42d2c8a5e98680b3b2a36ab5,2026-06-14
app/src/main/res/raw/hyena_fs5.mp3,Hyena,https://freesound.org/people/Mastersoundboy2005/sounds/719024/ (id 719024: Hyena Kookaburra sound),bea55676c2a90d68f57bc494fe5b2add1a2993594ecbcaf210597d1f318c3f07,2026-06-14
app/src/main/res/raw/lion_fs1.mp3,Lion,https://freesound.org/people/_justMonke_/sounds/611721/ (id 611721: Big Lion Roar),b5e55f2fa997b7aee3b05372202d4534714ed951acad7c6fbc2ef78649f28282,2026-06-14
app/src/main/res/raw/lion_fs3.mp3,Lion,https://freesound.org/people/tahirahg1991/sounds/420466/ (id 420466: Roar.m4a),5f264c8272cc03e5d2b73d424369f1efd9512347385c41c5f20d94aa365f59c3,2026-06-14
